motion,condition,checkpoint_iteration,reference_duration_s,reference_acceleration_rms_rad_s2,reference_jerk_rms_rad_s3,tracking_position_rmse_rad,tracking_velocity_rmse_rad_s,tracking_state_rmse_scaled,tracking_state_p95_scaled,rollout_anchor_position_error_m,rollout_body_orientation_error_rad,rollout_reward_rate,rollout_action_rate_penalty,training_final_1k_reward,training_final_1k_body_ori_reward,training_final_1k_action_rate_penalty,fidelity_keyframe_joint_rmse_rad,fidelity_ee_mean_deviation_m,fidelity_timing_change_percent,constraint_residual_proxy_rms_m
Lunges,DSMS,20000,5.58,3.254600983559474,63.96890522273389,0.07432128478591182,0.3326106456058908,0.5757582734070038,0.7158991198408697,0.029546345145972347,0.08459892403000571,4.859596008842137,-0.015064185363404106,42.01011629934202,0.900470772843637,-0.27800531289772595,0.055539848602553024,0.026322806862011893,0.0,0.005501134654717084
Lunges,GhostGUI,20000,5.58,8.44017638141607,308.41306701669885,0.08549350172703099,0.42517328600574994,0.6751615387771701,1.0431995487279981,0.0334944154276082,0.08119336304698793,4.840897870213327,-0.015946337932555545,41.994449086872464,0.8999118517615838,-0.26256860474388516,0.0,0.0,0.0,0.0
Crawlstand,DSMS,30000,11.98,2.1069210349732925,42.48382438284247,0.11157007106262203,0.37883396007233183,0.8331576216406886,1.2909145901367165,0.048896379539904763,0.12497335304202938,4.779053635845499,-0.015046039255213875,40.16848028592944,0.8449345766427274,-0.4111249476611733,0.15970968991368234,0.06698588859962276,0.0,0.04246082625301833
Crawlstand,GhostGUI,20000,11.98,3.15532776705263,101.83804785092421,0.11114130499239246,0.447669627531967,0.8472446703744468,1.499651067755291,0.11224895573061003,0.12973871732593975,4.632849807544722,-0.02237536552096274,41.10178804140426,0.8036770154378133,-0.30042483465757197,0.0,0.0,0.0,0.0
Theworm,DSMS,30000,3.14,39.46058754785275,1249.8005906549397,0.11423418348446486,1.1191089832790408,1.130785077742912,1.5399560621733008,0.054667607535590315,0.11808712324898714,4.353535111257984,-0.17258004889271822,32.75150406465425,0.8104768089667528,-0.6703509163118884,0.30937847715894284,0.22331451911308697,34.1880341880342,0.28764026299927403
Theworm,GhostGUI,30000,2.34,71.85511008974582,3043.979991891921,0.15639486847641532,1.8876759655976638,1.7333862869641314,2.8450156675077767,0.04607416513927169,0.1279402073377218,4.093020342481442,-0.1583984655718136,32.869404556805776,0.7827206581176636,-0.48731932805445854,0.0,0.0,0.0,0.0
