motion,keyframe_joint_rmse_rad,keyframe_ee_mean_deviation_m,keyframe_ee_max_deviation_m,endpoint_ee_mean_deviation_m,timing_change_s,timing_change_percent,constraint_residual_proxy_rms_m,constraint_violation_rate
Lunges,0.055539848602553024,0.026322806862011893,0.06905547446903959,0.03140864872824303,0.0,0.0,0.005501134654717084,0.2
Crawlstand,0.15970968991368234,0.06698588859962276,0.13946268808657342,0.05772725054549197,0.0,0.0,0.04246082625301833,0.55
Theworm,0.30937847715894284,0.22331451911308697,0.9289952057977356,0.49824131814979855,0.8000000000000003,34.1880341880342,0.28764026299927403,0.8
