trace,motion,condition,training_config,checkpoint_iteration,duration_s,position_rmse_rad,position_p95_rad,velocity_rmse_rad_s,velocity_p95_rad_s,state_rmse_scaled,state_p95_scaled,anchor_position_error_m,body_orientation_error_rad,reward_rate,action_rate_penalty
crawl-dsms-standard-20k,Crawlstand,DSMS,Standard,20000,11.96,0.20478090062738602,0.4092209757644767,0.3784496247407681,0.5990377652356141,1.4725396165541291,2.9005730046399303,0.07095681495096952,0.2292034648396137,4.525316546116031,-0.01247096180366601
crawl-dsms-standard-30k,Crawlstand,DSMS,Standard,30000,11.96,0.11157007106262203,0.172485725802666,0.37883396007233183,0.5934524924774293,0.8331576216406886,1.2909145901367165,0.048896379539904763,0.12497335304202938,4.779053635845499,-0.015046039255213875
crawl-ghostgui-standard-20k,Crawlstand,GhostGUI,Standard,20000,11.96,0.11114130499239246,0.19137549810596918,0.447669627531967,0.9366085901575549,0.8472446703744468,1.499651067755291,0.11224895573061003,0.12973871732593975,4.632849807544722,-0.02237536552096274
crawl-dsms-contact-rich-30k,Crawlstand,DSMS,Contact-rich,30000,11.96,0.07966625912489725,0.12284215629579387,0.28809354318043406,0.405387368889628,0.5990280352027708,0.94677022700422,0.024153528691118642,0.08440108605363532,4.891140516754084,-0.0137264378669999
lunges-dsms-standard-20k,Lunges,DSMS,Standard,20000,11.96,0.09881596496218922,0.14988069728581335,0.4141420990086696,0.7553855745336228,0.7576190240853801,1.0968737673976836,0.04546168544492957,0.10248910187928625,4.780011734799272,-0.017184410940811332
lunges2-dsms-standard-20k,Lunges2,DSMS,Standard,20000,5.5600000000000005,0.07432128478591182,0.0919876884233669,0.3326106456058908,0.6162663973743183,0.5757582734070038,0.7158991198408697,0.029546345145972347,0.08459892403000571,4.859596008842137,-0.015064185363404106
lunges2-ghostgui-standard-20k,Lunges2,GhostGUI,Standard,20000,5.5600000000000005,0.08549350172703099,0.1128204221451615,0.42517328600574994,0.8647621909494364,0.6751615387771701,1.0431995487279981,0.0334944154276082,0.08119336304698793,4.840897870213327,-0.015946337932555545
lunges2-dsms-custom-30k,Lunges2,DSMS,Custom,30000,5.5600000000000005,0.06971592730977712,0.08727401532015797,0.28078008672646915,0.5033829608494541,0.5314454389532082,0.6673170278905716,0.04444395801562342,0.08262451719425912,4.846623875067226,-0.025481439182221035
theworm-dsms-standard-30k,Theworm,DSMS,Standard,30000,3.12,0.11423418348446486,0.17692662428758485,1.1191089832790408,1.7557128618392106,1.130785077742912,1.5399560621733008,0.054667607535590315,0.11808712324898714,4.353535111257984,-0.17258004889271822
theworm-ghostgui-standard-30k,Theworm,GhostGUI,Standard,30000,2.32,0.15639486847641532,0.24637333823979707,1.8876759655976638,3.4828433100367535,1.7333862869641314,2.8450156675077767,0.04607416513927169,0.1279402073377218,4.093020342481442,-0.1583984655718136
worm1-dsms-standard-30k,Worm1,DSMS,Standard,30000,6.5600000000000005,0.10754737077697889,0.14386794460217742,0.4752490938231275,0.7287105620825467,0.8314160803363744,1.0624108070393505,0.040885549229017736,0.11984847051213215,4.751472253250496,-0.021689116564688294
worm1-ghostgui-standard-30k,Worm1,GhostGUI,Standard,30000,0.62,0.7004379083057011,0.9588858140905216,6.652475205348049,11.351266224929416,6.830693694528292,9.4314100927292,0.2797354486538097,0.7683578878641129,-13.057823087001452,-0.1949136444600299
getup-dsms-standard-30k,Getup,DSMS,Standard,30000,9.96,0.10793492562048572,0.17629198999512782,0.3711589907144778,0.6047698351639594,0.8070792443304958,1.2800052375950035,0.06540884922178301,0.10805603539298675,4.783192857771455,-0.010344163067486648
getup-dsms-custom-4.5k,Getup,DSMS,Custom,4500,9.96,0.497052315482336,0.6950263777456975,0.6107325553184325,1.1270109295168353,3.541122328214669,4.926689502805893,0.3502261299277863,1.0351269848510354,2.759376361234513,-0.052495577038762224
kneel-dsms-standard-20k,Kneel,DSMS,Standard,20000,9.96,0.08625279975209214,0.1278205370826163,0.32828975592797266,0.6055345684754435,0.6525828339585322,0.9329506005932847,0.05168609454003508,0.09856574124617423,4.812869872293157,-0.012728666502169687
slidefloat-dsms-standard-20k,Slidefloat,DSMS,Standard,20000,6.96,0.08813340932600003,0.11705943495145356,0.4802313640935674,0.8373763366550787,0.7097083721507008,0.9552172504270833,0.053552225960637405,0.1058535131180184,4.734796680574089,-0.02178594921175177
facedown-dsms-custom-30k,Facedown,DSMS,Custom,30000,4.96,0.09603409428841543,0.16449924148819606,0.5985885796255579,0.8256847581500856,0.8001759226063258,1.2447185959401619,0.021732332459819245,0.09241573629250009,4.727831060986921,-0.09627800743772562
facedown-ghostgui-custom-30k,Facedown,GhostGUI,Custom,30000,4.96,0.18796350994348804,0.38561915821436393,0.7129288612478785,1.0027001116687186,1.4214949293310493,2.8543073814777253,0.08415945437287979,0.2154486065648167,4.332484937755458,-0.07931576020843592
pushup-dsms-custom-30k,Pushup,DSMS,Custom,30000,4.16,0.09665613492601927,0.12789786309534704,0.28359097977961156,0.3733477734219793,0.7122726604664973,0.9347922685642038,0.016986592277008862,0.07786794001477186,4.880412438946763,-0.029316423896423867
pushup-ghostgui-custom-30k,Pushup,GhostGUI,Custom,30000,2.96,0.10708518909082348,0.14251309548833865,0.41885518337036637,0.5757746841016314,0.8130693195841192,1.091583888832529,0.020403214874864874,0.09111656223567541,4.837160517505351,-0.03895093880956305
squat-dsms-custom-30k,Squat,DSMS,Custom,30000,2.96,0.09968480597912432,0.17340215337121276,0.22592348611447496,0.39601841174086666,0.7227542721726671,1.228844588055297,0.0318894231974791,0.09387329422037473,4.820677363032463,-0.015549503857873055
squat-ghostgui-custom-30k,Squat,GhostGUI,Custom,30000,1.46,0.10219005848284003,0.16271501601134122,0.5150425073961113,1.0056192255654246,0.809181558643516,1.1644749279380826,0.02681656358165767,0.0901107819549538,4.741378918894239,-0.039402669021935274
