step,sim_time_s,motion_frame,reference_joint_pos,actual_joint_pos,reference_joint_vel,actual_joint_vel,policy_action,anchor_position_error,anchor_rotation_error,body_position_error,body_rotation_error,total_reward,total_reward_rate,terminated,truncated,done,reward/motion_global_root_pos,reward/motion_global_root_ori,reward/motion_body_pos,reward/motion_body_ori,reward/motion_body_lin_vel,reward/motion_body_ang_vel,reward/action_rate_l2,reward/joint_limit,reward/self_collisions,termination/time_out,termination/anchor_pos,termination/anchor_ori,termination/ee_body_pos
0,0.0,0,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.2904350757598877,-0.0030192320700734854,-0.00445394916459918,0.6258514523506165,-0.3234475255012512,-0.0001146377544500865,-0.2880136966705322,0.00029257676214911044,0.006990005727857351,0.623546302318573,-0.3307560980319977,-0.006530350539833307,-0.0036950549110770226,0.0005902256234548986,-0.000170672225067392,0.1994764357805252,0.19884532690048218,0.001177439815364778,0.6214211583137512,-1.8128215742763132e-05,0.0013290640199556947,0.0005606492049992085,0.20218001306056976,-0.20038971304893494,0.00024174479767680168,0.6084343791007996,-0.0015317026991397142,0.0011843189131468534,7.116518645489123e-06]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1.089194893836975,-0.17023435235023499,-0.1577528566122055,-1.7010494470596313,2.301015853881836,-0.005958518944680691,1.2540210485458374,-0.017962737008929253,0.3371526598930359,-1.968699336051941,1.433632731437683,-0.2584327757358551,-0.23124901950359344,0.03912567347288132,0.022579515352845192,-0.10544481873512268,-0.14241169393062592,0.13236834108829498,1.7166578769683838,-0.0011562105501070619,0.09288552403450012,0.04340563714504242,0.05231475085020065,0.005989343859255314,0.0070454636588692665,0.823430061340332,-0.10744146257638931,0.09086034446954727,-0.0020328322425484657]","[-0.10901947319507599,-0.02086453139781952,-0.14911064505577087,0.2841395139694214,-0.08554999530315399,-0.012312361039221287,-0.09010143578052521,-0.09186429530382156,0.17402736842632294,0.37249600887298584,-0.060209669172763824,-0.06533308327198029,-0.14320141077041626,0.17686715722084045,-0.23136043548583984,-0.1521884649991989,0.0814778208732605,0.08149342983961105,-0.2910483181476593,-0.014468654990196228,-0.031006764620542526,0.09695632010698318,-0.1316264420747757,-0.22617648541927338,-0.08620967715978622,-0.3495151102542877,-0.09619668126106262,0.14596505463123322,0.004273209720849991]",0.0012107680086046457,0.006604830268770456,0.007358022499829531,0.05235879495739937,0.0889413058757782,4.44706529378891,0,0,0,0.4999949038028717,0.49993860721588135,0.9993064999580383,0.9836023449897766,0.9543589353561401,0.9008340835571289,-0.3909699618816376,-0.0,-0.0,0.0,0.0,0.0,0.0
1,0.02,1,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.27119192481040955,-0.004791783634573221,-0.0053853788413107395,0.6083717346191406,-0.305568128824234,2.8061778721166775e-05,-0.26941582560539246,-0.00044621090637519956,0.00968403834849596,0.607241153717041,-0.3186739981174469,-0.006612911354750395,-0.008571422658860683,0.002491576597094536,0.0005348027334548533,0.20379263162612915,0.19498024880886078,0.002066120970994234,0.6478641033172607,-0.00015685254766140133,0.0023271669633686543,0.001592226792126894,0.20502088963985443,-0.2001066654920578,5.42460402357392e-05,0.6229257583618164,-0.004835373256355524,0.003011892084032297,3.075218410231173e-05]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9896587133407593,-0.07196371257305145,0.003584160702303052,-0.7303468585014343,0.34959402680397034,0.01446461584419012,0.8867428302764893,-0.054686039686203,0.09100492298603058,-0.5632689595222473,0.28881534934043884,0.10223650932312012,-0.2545398473739624,0.09822110831737518,-0.015275406651198864,0.4241434931755066,-0.21002492308616638,0.014146133325994015,1.0611709356307983,-0.009499713778495789,0.03277503699064255,0.05444983392953873,0.24992157518863678,0.012223171070218086,-0.012290185317397118,0.6106839179992676,-0.17676065862178802,0.08779218792915344,0.003283164231106639]","[-0.2884162366390228,0.06389784812927246,-0.11427923291921616,0.3103116452693939,-0.1876583695411682,0.020487293601036072,-0.09427537769079208,-0.14923611283302307,0.13779467344284058,0.44013822078704834,-0.061836980283260345,-0.05184708535671234,-0.118275485932827,0.1098996177315712,-0.12386239320039749,-0.21281728148460388,0.1512317955493927,0.055983684957027435,-0.5576514601707458,-0.025948815047740936,0.052234794944524765,0.1672482192516327,-0.27188944816589355,-0.27803725004196167,-0.12309340387582779,-0.578614354133606,-0.1375219076871872,0.2527541518211365,0.038700539618730545]",0.0024312783498317003,0.016136357560753822,0.0037362691946327686,0.023753277957439423,0.09643693268299103,4.821846634149551,0,0,0,0.499979168176651,0.49943163990974426,0.9998180866241455,0.9966000914573669,0.9897485375404358,0.9670642018318176,-0.1307949721813202,-0.0,-0.0,0.0,0.0,0.0,0.0
2,0.04,2,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.25753384828567505,-0.005391994956880808,-0.005507052410393953,0.5958288908004761,-0.30626872181892395,0.0004051656578667462,-0.25717341899871826,-0.0011069957399740815,0.010281468741595745,0.596981942653656,-0.3169555068016052,-0.0031921600457280874,-0.013438602909445763,0.005150434095412493,-0.005786603782325983,0.21820801496505737,0.19246099889278412,-0.0006299100932665169,0.6555777192115784,-0.00033859035465866327,0.0033117772545665503,0.002632660325616598,0.2143237441778183,-0.20010969042778015,-0.00047451278078369796,0.6276680827140808,-0.008499379269778728,0.005515535362064838,0.00015793426427990198]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5643691420555115,-0.0164865143597126,-0.008114272728562355,-0.6162748336791992,-0.15540635585784912,0.020232252776622772,0.5092566013336182,-0.025718756020069122,0.011150544509291649,-0.531530499458313,0.024853264912962914,0.1887037754058838,-0.22719018161296844,0.13951003551483154,-0.4364854693412781,0.805336594581604,-0.0804121345281601,-0.18516182899475098,0.16327457129955292,-0.00916230957955122,0.042530883103609085,0.052310761064291,0.5439203977584839,-0.005413873586803675,-0.02862611599266529,0.11246370524168015,-0.18453051149845123,0.11059161275625229,0.007812065538018942]","[-0.43637174367904663,0.12240612506866455,-0.10498154908418655,0.4446422755718231,-0.07836154848337173,0.027398690581321716,-0.08103760331869125,-0.1935204267501831,0.12427324801683426,0.5313829779624939,0.03551272302865982,-0.02982421964406967,-0.08148408681154251,0.06224595755338669,-0.07587393373250961,-0.266605019569397,0.20335307717323303,0.0362272784113884,-0.6806334853172302,-0.023333780467510223,0.1623239666223526,0.1885766088962555,-0.3747444152832031,-0.2973777651786804,-0.14838483929634094,-0.6976009011268616,-0.13983508944511414,0.31909146904945374,0.07841548323631287]",0.005191517993807793,0.027229005470871925,0.00542591093108058,0.029364779591560364,0.09778464585542679,4.889232292771339,0,0,0,0.49988991022109985,0.4981340765953064,0.9996816515922546,0.9941359758377075,0.986646294593811,0.9844508767127991,-0.07370641082525253,-0.0,-0.0,0.0,0.0,0.0,0.0
3,0.06,3,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.25306323170661926,-0.005465875379741192,-0.006354323122650385,0.5877442955970764,-0.3108138144016266,0.0007574780029244721,-0.2527393698692322,-0.0014237546129152179,0.009518745355308056,0.5892403721809387,-0.3176335096359253,0.00038795400178059936,-0.01705135405063629,0.008157107047736645,-0.01651863008737564,0.23257184028625488,0.19199036061763763,-0.005016257055103779,0.6555574536323547,-0.0006222485681064427,0.004438104573637247,0.0037220402155071497,0.22493231296539307,-0.20065246522426605,-0.001178479054942727,0.6283267736434937,-0.011729377321898937,0.0076269530691206455,0.00041896841139532626]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.10598742961883545,-0.0009662594529800117,-0.04914972931146622,-0.2894691824913025,-0.24264667928218842,0.015627490356564522,0.12026679515838623,-0.013359690085053444,-0.05110666900873184,-0.2962521016597748,-0.05875573307275772,0.1639539897441864,-0.14278647303581238,0.1436680257320404,-0.5064546465873718,0.6357660889625549,-0.004969949368387461,-0.19982321560382843,-0.06384548544883728,-0.016449477523565292,0.06360598653554916,0.05698349326848984,0.4873623549938202,-0.034182194620370865,-0.03522596135735512,0.007623808458447456,-0.1513165831565857,0.10554871708154678,0.015134324319660664]","[-0.5154804587364197,0.1601676493883133,-0.1139526292681694,0.5744460225105286,0.03558266907930374,0.014840430580079556,-0.07134044915437698,-0.22061365842819214,0.11987707763910294,0.633746862411499,0.11718643456697464,0.004820428788661957,-0.054866306483745575,0.029675863683223724,-0.06727569550275803,-0.31100282073020935,0.23798857629299164,0.016438670456409454,-0.7396570444107056,-0.03138451278209686,0.27992284297943115,0.18887200951576233,-0.4498865008354187,-0.30716103315353394,-0.16002172231674194,-0.7791732549667358,-0.105073943734169,0.38418149948120117,0.12765252590179443]",0.007671097293496132,0.036408595740795135,0.007194746285676956,0.033097125589847565,0.09846275299787521,4.923137649893761,0,0,0,0.49971655011177063,0.4962979257106781,0.9993751645088196,0.9920968413352966,0.9938533306121826,0.9918656945228577,-0.05006793513894081,-0.0,-0.0,0.0,0.0,0.0,0.0
4,0.08,4,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.25299882888793945,-0.005480433814227581,-0.00760711170732975,0.5867959856987,-0.31587353348731995,0.0009098421433009207,-0.25191304087638855,-0.0016680993139743805,0.008101780898869038,0.5876220464706421,-0.31983453035354614,0.0030201009940356016,-0.01870180107653141,0.010485228151082993,-0.022245101630687714,0.24172456562519073,0.19217674434185028,-0.008057812228798866,0.6509611010551453,-0.0010575205087661743,0.006037083920091391,0.0048846714198589325,0.23162689805030823,-0.20144154131412506,-0.0018810563487932086,0.6280237436294556,-0.014130466617643833,0.00994837749749422,0.0008298221509903669]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.03754662349820137,-0.0008462356054224074,-0.07138752192258835,0.07603230327367783,-0.2528221011161804,0.0035992139019072056,0.014777411706745625,-0.010989110916852951,-0.08141700178384781,0.024365631863474846,-0.13504648208618164,0.11040002107620239,-0.0465751513838768,0.10240783542394638,-0.1629260927438736,0.34534040093421936,0.012704940512776375,-0.12406035512685776,-0.27692294120788574,-0.02368931472301483,0.08658674359321594,0.05826670676469803,0.25072020292282104,-0.03944534435868263,-0.03373585268855095,-0.021075453609228134,-0.10687851905822754,0.11817993223667145,0.022489693015813828]","[-0.5607956647872925,0.17686763405799866,-0.12665966153144836,0.6576443910598755,0.094426728785038,-0.011023358441889286,-0.06887397915124893,-0.23584464192390442,0.11512554436922073,0.7180691957473755,0.16989412903785706,0.03373196721076965,-0.039040811359882355,0.006249949336051941,-0.06965576857328415,-0.32668808102607727,0.2624969184398651,0.004962407052516937,-0.7718613743782043,-0.037835270166397095,0.4085314869880676,0.1811753511428833,-0.5008848309516907,-0.30600887537002563,-0.16180187463760376,-0.8321775794029236,-0.07013319432735443,0.45635244250297546,0.16749228537082672]",0.008877763524651527,0.040653031319379807,0.00853696372359991,0.03508828580379486,0.0990404337644577,4.952021688222885,0,0,0,0.4995805323123932,0.49501195549964905,0.9990296363830566,0.9909356236457825,0.9985836148262024,0.9975928068161011,-0.028712572529911995,-0.0,-0.0,0.0,0.0,0.0,0.0
5,0.1,5,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.25729161500930786,-0.005614954512566328,-0.009483177214860916,0.59298175573349,-0.32121071219444275,0.0007700661662966013,-0.2547614872455597,-0.00197331584058702,0.005970170721411705,0.5924798846244812,-0.3236708641052246,0.00460944976657629,-0.019138650968670845,0.011924275197088718,-0.023730937391519547,0.24602079391479492,0.19253864884376526,-0.009854074567556381,0.6434522271156311,-0.0015769482124596834,0.008507147431373596,0.00601420272141695,0.23384429514408112,-0.2019711136817932,-0.002548674587160349,0.6274908781051636,-0.01571856625378132,0.013289080932736397,0.0013597749639302492]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.2831571698188782,-0.013241762295365334,-0.10493239760398865,0.4162142276763916,-0.2704103887081146,-0.012085656635463238,-0.20363642275333405,-0.020569616928696632,-0.11834754049777985,0.34735485911369324,-0.22108469903469086,0.06162036582827568,-0.010877171531319618,0.05233878642320633,-0.019249066710472107,0.13421036303043365,0.018689027056097984,-0.07134702056646347,-0.38172945380210876,-0.026642106473445892,0.1218453198671341,0.05533396452665329,0.03756050392985344,-0.017539456486701965,-0.03131143003702164,-0.030178185552358627,-0.06800011545419693,0.17648708820343018,0.028211481869220734]","[-0.6051490306854248,0.17903529107570648,-0.14013487100601196,0.7033971548080444,0.10066716372966766,-0.04488300532102585,-0.09152568131685257,-0.245286226272583,0.10885270684957504,0.7759068012237549,0.18899381160736084,0.05170721560716629,-0.03489632159471512,-0.009469226002693176,-0.06760179251432419,-0.3213229179382324,0.2816866934299469,-0.0041432008147239685,-0.7861890196800232,-0.040112175047397614,0.5395779013633728,0.17067790031433105,-0.5319536328315735,-0.2955988049507141,-0.15363997220993042,-0.8619810938835144,-0.044069841504096985,0.540376603603363,0.19870850443840027]",0.008964529260993004,0.040721919387578964,0.00897858664393425,0.034923139959573746,0.09921770542860031,4.960885271430016,0,0,0,0.49954792857170105,0.49477618932724,0.9988605976104736,0.9909661412239075,0.998920202255249,0.9973600506782532,-0.019545748829841614,-0.0,-0.0,0.0,0.0,0.0,0.0
6,0.12,6,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.26670292019844055,-0.006330608390271664,-0.012002848088741302,0.6046684384346008,-0.3268148899078369,0.00029730680398643017,-0.2625653147697449,-0.0028188503347337246,0.003159669227898121,0.6033048629760742,-0.32925522327423096,0.005431606434285641,-0.019290128722786903,0.01221089344471693,-0.02414518967270851,0.24689523875713348,0.19321735203266144,-0.011209815740585327,0.6352590322494507,-0.002082369290292263,0.01206919364631176,0.007033727131783962,0.23263932764530182,-0.2021782547235489,-0.0031040513422340155,0.6268065571784973,-0.016680380329489708,0.017627963796257973,0.0019774562679231167]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.5319252610206604,-0.045255035161972046,-0.13877467811107635,0.6546041369438171,-0.28171396255493164,-0.028783848509192467,-0.44755008816719055,-0.051025159657001495,-0.15316356718540192,0.6169497966766357,-0.3038913905620575,0.03037041425704956,-0.006238248664885759,0.0030154080595821142,0.0006762963603250682,-0.014503696002066135,0.031526949256658554,-0.06032508611679077,-0.37867939472198486,-0.02461913228034973,0.17300710082054138,0.049229707568883896,-0.11651954799890518,-0.008322305977344513,-0.025305524468421936,-0.03695628419518471,-0.0399201475083828,0.22277241945266724,0.03184790536761284]","[-0.6435495018959045,0.17412690818309784,-0.15707826614379883,0.7398883700370789,0.07674023509025574,-0.08018843829631805,-0.12469781190156937,-0.25315797328948975,0.10189678519964218,0.8269836902618408,0.19062812626361847,0.06440281122922897,-0.03744746744632721,-0.021767452359199524,-0.06854046136140823,-0.306305468082428,0.294004887342453,-0.006824985146522522,-0.7925655841827393,-0.038063839077949524,0.6747653484344482,0.15584111213684082,-0.5506486892700195,-0.2807692289352417,-0.13970112800598145,-0.8760427832603455,-0.027213916182518005,0.6360028386116028,0.2139151692390442]",0.008337143808603287,0.038231782615184784,0.008574309758841991,0.033019959926605225,0.09915372729301453,4.957686364650726,0,0,0,0.4995950162410736,0.4952640235424042,0.9989035129547119,0.9918683171272278,0.9968565702438354,0.9945114254951477,-0.01931234635412693,-0.0,-0.0,0.0,0.0,0.0,0.0
7,0.14,7,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.2803012728691101,-0.007587675005197525,-0.015102389268577099,0.6200451850891113,-0.3326343595981598,-0.00048298941692337394,-0.27450183033943176,-0.004184700548648834,-0.00023238128051161766,0.6183496117591858,-0.3361645042896271,0.0058397771790623665,-0.0194587130099535,0.011952431872487068,-0.0244761910289526,0.2455391138792038,0.19377481937408447,-0.012017583474516869,0.6276283264160156,-0.0025122282095253468,0.016911504790186882,0.007939755916595459,0.22857943177223206,-0.20229528844356537,-0.003543374827131629,0.6260275840759277,-0.017231181263923645,0.022849660366773605,0.0026035988703370094]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.7166325449943542,-0.07121771574020386,-0.16176709532737732,0.8054420948028564,-0.2905712425708771,-0.04282847419381142,-0.634345293045044,-0.076217420399189,-0.17598038911819458,0.7973894476890564,-0.36053645610809326,0.015274051576852798,-0.008833200670778751,-0.019577303901314735,-0.0029266835190355778,-0.10510725528001785,0.022179188206791878,-0.030727602541446686,-0.33999738097190857,-0.020068064332008362,0.23854203522205353,0.043342821300029755,-0.2513675093650818,-0.0048302519135177135,-0.018880944699048996,-0.041192345321178436,-0.02245425246655941,0.2639262080192566,0.03123723529279232]","[-0.6744073033332825,0.16733451187610626,-0.17592275142669678,0.7792180776596069,0.03614543378353119,-0.11099856346845627,-0.1623215675354004,-0.2623876929283142,0.09749018400907516,0.8772938847541809,0.18685342371463776,0.07305236160755157,-0.04442243278026581,-0.036026909947395325,-0.07643251866102219,-0.2885039448738098,0.2982514500617981,-0.0024953410029411316,-0.7993974089622498,-0.034152835607528687,0.8105782270431519,0.13806107640266418,-0.56322181224823,-0.2634194493293762,-0.12314289063215256,-0.8806456327438354,-0.018015719950199127,0.7389428019523621,0.21107536554336548]",0.00731887249276042,0.034279342740774155,0.007663110736757517,0.030151978135108948,0.09906400740146637,4.9532003700733185,0,0,0,0.4996798038482666,0.49610835313796997,0.9990637898445129,0.993072509765625,0.9941408634185791,0.991421103477478,-0.020286377519369125,-0.0,-0.0,0.0,0.0,0.0,0.0
8,0.16,8,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.2967285215854645,-0.009386549703776836,-0.018378516659140587,0.6374172568321228,-0.3385108709335327,-0.001486408757045865,-0.28957507014274597,-0.006083909422159195,-0.0037933362182229757,0.6363097429275513,-0.3439667224884033,0.006042524706572294,-0.019737087190151215,0.011009776033461094,-0.024938302114605904,0.24313363432884216,0.19420689344406128,-0.012333129532635212,0.6205649971961975,-0.0028293272480368614,0.0229230597615242,0.008730079047381878,0.2220696210861206,-0.20233553647994995,-0.0038273166865110397,0.6251870393753052,-0.017541339620947838,0.028785543516278267,0.0031781692523509264]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.8365460634231567,-0.09681326895952225,-0.16458025574684143,0.8803342580795288,-0.2902611494064331,-0.05251772329211235,-0.7740277051925659,-0.10154161602258682,-0.17824074625968933,0.9229187369346619,-0.3978806436061859,0.007090223953127861,-0.013152960687875748,-0.05768367275595665,-0.010797657072544098,-0.1398618370294571,0.01855740137398243,-0.011025156825780869,-0.31481510400772095,-0.014030937105417252,0.2917001247406006,0.0374973900616169,-0.36381927132606506,-0.00100627017673105,-0.01066618598997593,-0.04375232383608818,-0.01264631375670433,0.2941954433917999,0.027852924540638924]","[-0.6990907192230225,0.16050533950328827,-0.19467628002166748,0.8223269581794739,-0.011124251410365105,-0.13405176997184753,-0.20353266596794128,-0.2723458409309387,0.09583515673875809,0.9272804856300354,0.1794515699148178,0.07756959646940231,-0.05411415547132492,-0.05322001129388809,-0.09021147340536118,-0.27249181270599365,0.2959037721157074,0.005583442747592926,-0.809352457523346,-0.02942008525133133,0.9411349296569824,0.12173990160226822,-0.5716347694396973,-0.24587108194828033,-0.10552279651165009,-0.8793179988861084,-0.013593234121799469,0.846245288848877,0.19370752573013306]",0.006211416330188513,0.029514364898204803,0.006632255390286446,0.027039432898163795,0.09900480508804321,4.950240254402161,0,0,0,0.49976688623428345,0.4970534145832062,0.9992489814758301,0.9941513538360596,0.9915251135826111,0.9889304637908936,-0.020435715094208717,-0.0,-0.0,0.0,0.0,0.0,0.0
9,0.18,9,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.31502217054367065,-0.011557057499885559,-0.021676575765013695,0.655759871006012,-0.344318687915802,-0.0026219342835247517,-0.3068302273750305,-0.008346459828317165,-0.007355344481766224,0.656038761138916,-0.3522484302520752,0.006100027821958065,-0.020204341039061546,0.009377512149512768,-0.02563135139644146,0.2405821979045868,0.19455541670322418,-0.012455043382942677,0.6139064431190491,-0.0030182828195393085,0.029697652906179428,0.009412980638444424,0.21365094184875488,-0.20230495929718018,-0.003954816609621048,0.6243193745613098,-0.017708871513605118,0.03517766669392586,0.0036467111203819513]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.9142407774925232,-0.11096269637346268,-0.16323085129261017,0.9160963892936707,-0.2854740619659424,-0.05782807618379593,-0.8663699626922607,-0.11532765626907349,-0.17577163875102997,0.9929490685462952,-0.41461196541786194,9.732927719596773e-05,-0.02018827386200428,-0.09153741598129272,-0.021058758720755577,-0.13619180023670197,0.015562196262180805,-0.004569181241095066,-0.297086626291275,-0.007550589740276337,0.323943167924881,0.0323449969291687,-0.4478576183319092,0.0023503387346863747,-0.0027012317441403866,-0.044560641050338745,-0.00661347946152091,0.3119546175003052,0.0218806192278862]","[-0.7196369767189026,0.15339328348636627,-0.21153032779693604,0.8684009313583374,-0.060077935457229614,-0.148295059800148,-0.2462829053401947,-0.2820581793785095,0.09696713835000992,0.9731942415237427,0.1672324240207672,0.07887031137943268,-0.06470709294080734,-0.0698210671544075,-0.10946863144636154,-0.2606084644794464,0.28902214765548706,0.016005486249923706,-0.821718156337738,-0.024380184710025787,1.059628963470459,0.10872543603181839,-0.5775058269500732,-0.22993148863315582,-0.08794493228197098,-0.8746985197067261,-0.010519362986087799,0.9546595811843872,0.165004700422287]",0.005428065545856953,0.024441083893179893,0.006129349581897259,0.024607552215456963,0.09898532181978226,4.949266090989113,0,0,0,0.4998275935649872,0.4979378581047058,0.9993874430656433,0.9948213696479797,0.989301860332489,0.9871456623077393,-0.01915568858385086,-0.0,-0.0,0.0,0.0,0.0,0.0
